"region","type registrering","drivstofftype","år","statistikkvariabel","12906: Førstegangsregistrerte kjøretøy,"
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2019","Beltemotorsykler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2019","Traktorer",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2019","Motorredskaper",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2020","Personbiler",15156
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2020","Ambulanser",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2020","Bobiler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2020","Busser",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2020","Varebiler",9
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2020","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2020","Lastebiler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2020","Mopeder",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2020","Lette motorsykler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2020","Tunge motorsykler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2020","Beltemotorsykler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2020","Traktorer",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2020","Motorredskaper",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2019","Personbiler",531
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2019","Ambulanser",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2019","Bobiler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2019","Busser",63
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2019","Varebiler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2019","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2019","Lastebiler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2019","Mopeder",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2019","Lette motorsykler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2019","Tunge motorsykler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2019","Beltemotorsykler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2019","Traktorer",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2019","Motorredskaper",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2020","Personbiler",1412
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2020","Ambulanser",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2020","Bobiler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2020","Busser",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2020","Varebiler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2020","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2020","Lastebiler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2020","Mopeder",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2020","Lette motorsykler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2020","Tunge motorsykler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2020","Beltemotorsykler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2020","Traktorer",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ladbar","2020","Motorredskaper",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ikke ladbar","2019","Personbiler",544
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ikke ladbar","2019","Ambulanser",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ikke ladbar","2019","Bobiler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ikke ladbar","2019","Busser",6
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ikke ladbar","2019","Varebiler",23
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ikke ladbar","2019","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ikke ladbar","2019","Lastebiler",1
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ikke ladbar","2019","Mopeder",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ikke ladbar","2019","Lette motorsykler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ikke ladbar","2019","Tunge motorsykler",0
"0 Hele landet","Nye kjøretøy","Diesel hybrid, ikke ladbar","2019","Beltemotorsykler",0
