region;type registrering;drivstofftype;år;biltyper;antall;dato
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2020;Busser;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2020;Varebiler;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2020;Kombinerte biler;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2020;Lastebiler;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2020;Mopeder;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2020;Lette motorsykler;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2020;Tunge motorsykler;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2020;Beltemotorsykler;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2020;Traktorer;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2020;Motorredskaper;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2019;Personbiler;544;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2019;Ambulanser;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2019;Bobiler;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2019;Busser;6;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2019;Varebiler;23;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2019;Kombinerte biler;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2019;Lastebiler;1;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2019;Mopeder;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2019;Lette motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2019;Tunge motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2019;Beltemotorsykler;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2019;Traktorer;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2019;Motorredskaper;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2020;Personbiler;763;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2020;Ambulanser;8;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2020;Bobiler;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2020;Busser;2;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2020;Varebiler;82;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2020;Kombinerte biler;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2020;Lastebiler;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2020;Mopeder;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2020;Lette motorsykler;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2020;Tunge motorsykler;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2020;Beltemotorsykler;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2020;Traktorer;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ikke ladbar;2020;Motorredskaper;0;01.01.2020
Norge;Nye kjøretøy;Annet drivstoff;2019;Personbiler;0;01.01.2019
Norge;Nye kjøretøy;Annet drivstoff;2019;Ambulanser;0;01.01.2019
Norge;Nye kjøretøy;Annet drivstoff;2019;Bobiler;0;01.01.2019
Norge;Nye kjøretøy;Annet drivstoff;2019;Busser;0;01.01.2019
Norge;Nye kjøretøy;Annet drivstoff;2019;Varebiler;0;01.01.2019
Norge;Nye kjøretøy;Annet drivstoff;2019;Kombinerte biler;0;01.01.2019
Norge;Nye kjøretøy;Annet drivstoff;2019;Lastebiler;20;01.01.2019
Norge;Nye kjøretøy;Annet drivstoff;2019;Mopeder;0;01.01.2019
Norge;Nye kjøretøy;Annet drivstoff;2019;Lette motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Annet drivstoff;2019;Tunge motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Annet drivstoff;2019;Beltemotorsykler;0;01.01.2019
Norge;Nye kjøretøy;Annet drivstoff;2019;Traktorer;0;01.01.2019
Norge;Nye kjøretøy;Annet drivstoff;2019;Motorredskaper;0;01.01.2019
Norge;Nye kjøretøy;Annet drivstoff;2020;Personbiler;0;01.01.2020
Norge;Nye kjøretøy;Annet drivstoff;2020;Ambulanser;0;01.01.2020
Norge;Nye kjøretøy;Annet drivstoff;2020;Bobiler;0;01.01.2020
Norge;Nye kjøretøy;Annet drivstoff;2020;Busser;0;01.01.2020
Norge;Nye kjøretøy;Annet drivstoff;2020;Varebiler;0;01.01.2020
Norge;Nye kjøretøy;Annet drivstoff;2020;Kombinerte biler;0;01.01.2020
Norge;Nye kjøretøy;Annet drivstoff;2020;Lastebiler;9;01.01.2020
Norge;Nye kjøretøy;Annet drivstoff;2020;Mopeder;0;01.01.2020
Norge;Nye kjøretøy;Annet drivstoff;2020;Lette motorsykler;0;01.01.2020
Norge;Nye kjøretøy;Annet drivstoff;2020;Tunge motorsykler;0;01.01.2020
Norge;Nye kjøretøy;Annet drivstoff;2020;Beltemotorsykler;0;01.01.2020
Norge;Nye kjøretøy;Annet drivstoff;2020;Traktorer;0;01.01.2020
Norge;Nye kjøretøy;Annet drivstoff;2020;Motorredskaper;0;01.01.2020
Kristiansand;Nye kjøretøy;Bensin;2019;Personbiler;0;01.01.2019
Kristiansand;Nye kjøretøy;Bensin;2019;Ambulanser;0;01.01.2019
Kristiansand;Nye kjøretøy;Bensin;2019;Bobiler;0;01.01.2019
Kristiansand;Nye kjøretøy;Bensin;2019;Busser;0;01.01.2019
Kristiansand;Nye kjøretøy;Bensin;2019;Varebiler;0;01.01.2019
Kristiansand;Nye kjøretøy;Bensin;2019;Kombinerte biler;0;01.01.2019
Kristiansand;Nye kjøretøy;Bensin;2019;Lastebiler;0;01.01.2019
Kristiansand;Nye kjøretøy;Bensin;2019;Mopeder;0;01.01.2019
Kristiansand;Nye kjøretøy;Bensin;2019;Lette motorsykler;0;01.01.2019
Kristiansand;Nye kjøretøy;Bensin;2019;Tunge motorsykler;0;01.01.2019
Kristiansand;Nye kjøretøy;Bensin;2019;Beltemotorsykler;0;01.01.2019
Kristiansand;Nye kjøretøy;Bensin;2019;Traktorer;0;01.01.2019
Kristiansand;Nye kjøretøy;Bensin;2019;Motorredskaper;0;01.01.2019
4204 Kristiansand;Nye kjøretøy;Bensin;2020;Personbiler;112;01.01.2020
4204 Kristiansand;Nye kjøretøy;Bensin;2020;Ambulanser;0;01.01.2020
4204 Kristiansand;Nye kjøretøy;Bensin;2020;Bobiler;0;01.01.2020
4204 Kristiansand;Nye kjøretøy;Bensin;2020;Busser;0;01.01.2020
4204 Kristiansand;Nye kjøretøy;Bensin;2020;Varebiler;2;01.01.2020
4204 Kristiansand;Nye kjøretøy;Bensin;2020;Kombinerte biler;0;01.01.2020
4204 Kristiansand;Nye kjøretøy;Bensin;2020;Lastebiler;0;01.01.2020
4204 Kristiansand;Nye kjøretøy;Bensin;2020;Mopeder;54;01.01.2020
4204 Kristiansand;Nye kjøretøy;Bensin;2020;Lette motorsykler;54;01.01.2020
4204 Kristiansand;Nye kjøretøy;Bensin;2020;Tunge motorsykler;141;01.01.2020
4204 Kristiansand;Nye kjøretøy;Bensin;2020;Beltemotorsykler;19;01.01.2020
4204 Kristiansand;Nye kjøretøy;Bensin;2020;Traktorer;56;01.01.2020
4204 Kristiansand;Nye kjøretøy;Bensin;2020;Motorredskaper;0;01.01.2020
Kristiansand;Nye kjøretøy;Diesel;2019;Personbiler;0;01.01.2019
Kristiansand;Nye kjøretøy;Diesel;2019;Ambulanser;0;01.01.2019
Kristiansand;Nye kjøretøy;Diesel;2019;Bobiler;0;01.01.2019
Kristiansand;Nye kjøretøy;Diesel;2019;Busser;0;01.01.2019
Kristiansand;Nye kjøretøy;Diesel;2019;Varebiler;0;01.01.2019
Kristiansand;Nye kjøretøy;Diesel;2019;Kombinerte biler;0;01.01.2019
Kristiansand;Nye kjøretøy;Diesel;2019;Lastebiler;0;01.01.2019
Kristiansand;Nye kjøretøy;Diesel;2019;Mopeder;0;01.01.2019
Kristiansand;Nye kjøretøy;Diesel;2019;Lette motorsykler;0;01.01.2019
Kristiansand;Nye kjøretøy;Diesel;2019;Tunge motorsykler;0;01.01.2019
Kristiansand;Nye kjøretøy;Diesel;2019;Beltemotorsykler;0;01.01.2019
Kristiansand;Nye kjøretøy;Diesel;2019;Traktorer;0;01.01.2019
Kristiansand;Nye kjøretøy;Diesel;2019;Motorredskaper;0;01.01.2019
4204 Kristiansand;Nye kjøretøy;Diesel;2020;Personbiler;150;01.01.2020
4204 Kristiansand;Nye kjøretøy;Diesel;2020;Ambulanser;1;01.01.2020
4204 Kristiansand;Nye kjøretøy;Diesel;2020;Bobiler;35;01.01.2020
