region,type kjøring,drivstofftype,år,statistikkvariabel,"07849: Registrerte kjøretøy,"
0 Hele landet,Egentransport,Diesel,2011,Motorredskaper,5079
0 Hele landet,Egentransport,Diesel,2012,Personbiler,991509
0 Hele landet,Egentransport,Diesel,2012,Ambulanser,205
0 Hele landet,Egentransport,Diesel,2012,Busser,8351
0 Hele landet,Egentransport,Diesel,2012,Varebiler,355173
0 Hele landet,Egentransport,Diesel,2012,Kombinerte biler,32536
0 Hele landet,Egentransport,Diesel,2012,Lastebiler,53670
0 Hele landet,Egentransport,Diesel,2012,Mopeder,1851
0 Hele landet,Egentransport,Diesel,2012,Lette motorsykler,1
0 Hele landet,Egentransport,Diesel,2012,Tunge motorsykler,32
0 Hele landet,Egentransport,Diesel,2012,Beltemotorsykler,2
0 Hele landet,Egentransport,Diesel,2012,Traktorer,223977
0 Hele landet,Egentransport,Diesel,2012,Motorredskaper,5035
0 Hele landet,Egentransport,Diesel,2013,Personbiler,1078686
0 Hele landet,Egentransport,Diesel,2013,Ambulanser,168
0 Hele landet,Egentransport,Diesel,2013,Busser,7853
0 Hele landet,Egentransport,Diesel,2013,Varebiler,369050
0 Hele landet,Egentransport,Diesel,2013,Kombinerte biler,29197
0 Hele landet,Egentransport,Diesel,2013,Lastebiler,55451
0 Hele landet,Egentransport,Diesel,2013,Mopeder,1830
0 Hele landet,Egentransport,Diesel,2013,Lette motorsykler,1
0 Hele landet,Egentransport,Diesel,2013,Tunge motorsykler,32
0 Hele landet,Egentransport,Diesel,2013,Beltemotorsykler,2
0 Hele landet,Egentransport,Diesel,2013,Traktorer,225685
0 Hele landet,Egentransport,Diesel,2013,Motorredskaper,5045
0 Hele landet,Egentransport,Diesel,2014,Personbiler,1154592
0 Hele landet,Egentransport,Diesel,2014,Ambulanser,149
0 Hele landet,Egentransport,Diesel,2014,Busser,7493
0 Hele landet,Egentransport,Diesel,2014,Varebiler,378914
0 Hele landet,Egentransport,Diesel,2014,Kombinerte biler,26017
0 Hele landet,Egentransport,Diesel,2014,Lastebiler,57292
0 Hele landet,Egentransport,Diesel,2014,Mopeder,1813
0 Hele landet,Egentransport,Diesel,2014,Lette motorsykler,1
0 Hele landet,Egentransport,Diesel,2014,Tunge motorsykler,35
0 Hele landet,Egentransport,Diesel,2014,Beltemotorsykler,2
0 Hele landet,Egentransport,Diesel,2014,Traktorer,227064
0 Hele landet,Egentransport,Diesel,2014,Motorredskaper,4981
0 Hele landet,Egentransport,Diesel,2015,Personbiler,1213862
0 Hele landet,Egentransport,Diesel,2015,Ambulanser,128
0 Hele landet,Egentransport,Diesel,2015,Busser,7467
0 Hele landet,Egentransport,Diesel,2015,Varebiler,389744
0 Hele landet,Egentransport,Diesel,2015,Kombinerte biler,23068
0 Hele landet,Egentransport,Diesel,2015,Lastebiler,57728
0 Hele landet,Egentransport,Diesel,2015,Mopeder,1805
0 Hele landet,Egentransport,Diesel,2015,Lette motorsykler,2
0 Hele landet,Egentransport,Diesel,2015,Tunge motorsykler,44
0 Hele landet,Egentransport,Diesel,2015,Beltemotorsykler,2
0 Hele landet,Egentransport,Diesel,2015,Traktorer,228117
0 Hele landet,Egentransport,Diesel,2015,Motorredskaper,4926
0 Hele landet,Egentransport,Diesel,2016,Personbiler,1249696
0 Hele landet,Egentransport,Diesel,2016,Ambulanser,136
0 Hele landet,Egentransport,Diesel,2016,Busser,7472
0 Hele landet,Egentransport,Diesel,2016,Varebiler,402265
0 Hele landet,Egentransport,Diesel,2016,Kombinerte biler,19804
0 Hele landet,Egentransport,Diesel,2016,Lastebiler,57618
0 Hele landet,Egentransport,Diesel,2016,Mopeder,1781
0 Hele landet,Egentransport,Diesel,2016,Lette motorsykler,2
0 Hele landet,Egentransport,Diesel,2016,Tunge motorsykler,45
0 Hele landet,Egentransport,Diesel,2016,Beltemotorsykler,2
0 Hele landet,Egentransport,Diesel,2016,Traktorer,229410
0 Hele landet,Egentransport,Diesel,2016,Motorredskaper,4888
0 Hele landet,Egentransport,Diesel,2017,Personbiler,1270217
0 Hele landet,Egentransport,Diesel,2017,Ambulanser,123
0 Hele landet,Egentransport,Diesel,2017,Busser,7170
0 Hele landet,Egentransport,Diesel,2017,Varebiler,412784
0 Hele landet,Egentransport,Diesel,2017,Kombinerte biler,17280
0 Hele landet,Egentransport,Diesel,2017,Lastebiler,57433
0 Hele landet,Egentransport,Diesel,2017,Mopeder,1745
0 Hele landet,Egentransport,Diesel,2017,Lette motorsykler,2
0 Hele landet,Egentransport,Diesel,2017,Tunge motorsykler,47
0 Hele landet,Egentransport,Diesel,2017,Beltemotorsykler,2
0 Hele landet,Egentransport,Diesel,2017,Traktorer,229724
0 Hele landet,Egentransport,Diesel,2017,Motorredskaper,4483
0 Hele landet,Egentransport,Diesel,2018,Personbiler,1268978
0 Hele landet,Egentransport,Diesel,2018,Ambulanser,114
0 Hele landet,Egentransport,Diesel,2018,Busser,6935
0 Hele landet,Egentransport,Diesel,2018,Varebiler,417863
0 Hele landet,Egentransport,Diesel,2018,Kombinerte biler,14904
0 Hele landet,Egentransport,Diesel,2018,Lastebiler,57145
0 Hele landet,Egentransport,Diesel,2018,Mopeder,1678
0 Hele landet,Egentransport,Diesel,2018,Lette motorsykler,2
0 Hele landet,Egentransport,Diesel,2018,Tunge motorsykler,48
0 Hele landet,Egentransport,Diesel,2018,Beltemotorsykler,2
0 Hele landet,Egentransport,Diesel,2018,Traktorer,228896
0 Hele landet,Egentransport,Diesel,2018,Motorredskaper,4100
0 Hele landet,Egentransport,Diesel,2019,Personbiler,1260704
0 Hele landet,Egentransport,Diesel,2019,Ambulanser,140
0 Hele landet,Egentransport,Diesel,2019,Busser,7064
0 Hele landet,Egentransport,Diesel,2019,Varebiler,427504
0 Hele landet,Egentransport,Diesel,2019,Kombinerte biler,13044
0 Hele landet,Egentransport,Diesel,2019,Lastebiler,57199
0 Hele landet,Egentransport,Diesel,2019,Mopeder,1821
0 Hele landet,Egentransport,Diesel,2019,Lette motorsykler,2
0 Hele landet,Egentransport,Diesel,2019,Tunge motorsykler,53
0 Hele landet,Egentransport,Diesel,2019,Beltemotorsykler,2
0 Hele landet,Egentransport,Diesel,2019,Traktorer,229740
0 Hele landet,Egentransport,Diesel,2019,Motorredskaper,3869
0 Hele landet,Egentransport,Diesel,2020,Personbiler,1229600
0 Hele landet,Egentransport,Diesel,2020,Ambulanser,227
0 Hele landet,Egentransport,Diesel,2020,Busser,7308
0 Hele landet,Egentransport,Diesel,2020,Varebiler,430257
0 Hele landet,Egentransport,Diesel,2020,Kombinerte biler,11506
0 Hele landet,Egentransport,Diesel,2020,Lastebiler,56733
0 Hele landet,Egentransport,Diesel,2020,Mopeder,2153
0 Hele landet,Egentransport,Diesel,2020,Lette motorsykler,2
0 Hele landet,Egentransport,Diesel,2020,Tunge motorsykler,56
0 Hele landet,Egentransport,Diesel,2020,Beltemotorsykler,2
0 Hele landet,Egentransport,Diesel,2020,Traktorer,229827
0 Hele landet,Egentransport,Diesel,2020,Motorredskaper,3784
0 Hele landet,Egentransport,Parafin,2008,Personbiler,21
0 Hele landet,Egentransport,Parafin,2008,Ambulanser,0
0 Hele landet,Egentransport,Parafin,2008,Busser,1
0 Hele landet,Egentransport,Parafin,2008,Varebiler,4
0 Hele landet,Egentransport,Parafin,2008,Kombinerte biler,0
0 Hele landet,Egentransport,Parafin,2008,Lastebiler,13
0 Hele landet,Egentransport,Parafin,2008,Mopeder,0
0 Hele landet,Egentransport,Parafin,2008,Lette motorsykler,0
0 Hele landet,Egentransport,Parafin,2008,Tunge motorsykler,0
0 Hele landet,Egentransport,Parafin,2008,Beltemotorsykler,0
0 Hele landet,Egentransport,Parafin,2008,Traktorer,87
0 Hele landet,Egentransport,Parafin,2008,Motorredskaper,0
0 Hele landet,Egentransport,Parafin,2009,Personbiler,22
0 Hele landet,Egentransport,Parafin,2009,Ambulanser,0
0 Hele landet,Egentransport,Parafin,2009,Busser,1
0 Hele landet,Egentransport,Parafin,2009,Varebiler,5
0 Hele landet,Egentransport,Parafin,2009,Kombinerte biler,0
0 Hele landet,Egentransport,Parafin,2009,Lastebiler,13
0 Hele landet,Egentransport,Parafin,2009,Mopeder,0
0 Hele landet,Egentransport,Parafin,2009,Lette motorsykler,0
0 Hele landet,Egentransport,Parafin,2009,Tunge motorsykler,0
0 Hele landet,Egentransport,Parafin,2009,Beltemotorsykler,0
0 Hele landet,Egentransport,Parafin,2009,Traktorer,84
0 Hele landet,Egentransport,Parafin,2009,Motorredskaper,0
0 Hele landet,Egentransport,Parafin,2010,Personbiler,20
0 Hele landet,Egentransport,Parafin,2010,Ambulanser,0
0 Hele landet,Egentransport,Parafin,2010,Busser,2
0 Hele landet,Egentransport,Parafin,2010,Varebiler,3
0 Hele landet,Egentransport,Parafin,2010,Kombinerte biler,0
0 Hele landet,Egentransport,Parafin,2010,Lastebiler,13
0 Hele landet,Egentransport,Parafin,2010,Mopeder,0
0 Hele landet,Egentransport,Parafin,2010,Lette motorsykler,0
0 Hele landet,Egentransport,Parafin,2010,Tunge motorsykler,0
0 Hele landet,Egentransport,Parafin,2010,Beltemotorsykler,0
0 Hele landet,Egentransport,Parafin,2010,Traktorer,80
0 Hele landet,Egentransport,Parafin,2010,Motorredskaper,0
0 Hele landet,Egentransport,Parafin,2011,Personbiler,19
0 Hele landet,Egentransport,Parafin,2011,Ambulanser,0
0 Hele landet,Egentransport,Parafin,2011,Busser,1
0 Hele landet,Egentransport,Parafin,2011,Varebiler,4
0 Hele landet,Egentransport,Parafin,2011,Kombinerte biler,0
0 Hele landet,Egentransport,Parafin,2011,Lastebiler,14
0 Hele landet,Egentransport,Parafin,2011,Mopeder,0
0 Hele landet,Egentransport,Parafin,2011,Lette motorsykler,0
0 Hele landet,Egentransport,Parafin,2011,Tunge motorsykler,0
0 Hele landet,Egentransport,Parafin,2011,Beltemotorsykler,0
0 Hele landet,Egentransport,Parafin,2011,Traktorer,75
0 Hele landet,Egentransport,Parafin,2011,Motorredskaper,0
0 Hele landet,Egentransport,Parafin,2012,Personbiler,16
0 Hele landet,Egentransport,Parafin,2012,Ambulanser,0
0 Hele landet,Egentransport,Parafin,2012,Busser,1
0 Hele landet,Egentransport,Parafin,2012,Varebiler,3
0 Hele landet,Egentransport,Parafin,2012,Kombinerte biler,0
0 Hele landet,Egentransport,Parafin,2012,Lastebiler,15
0 Hele landet,Egentransport,Parafin,2012,Mopeder,0
0 Hele landet,Egentransport,Parafin,2012,Lette motorsykler,0
0 Hele landet,Egentransport,Parafin,2012,Tunge motorsykler,0
0 Hele landet,Egentransport,Parafin,2012,Beltemotorsykler,0
0 Hele landet,Egentransport,Parafin,2012,Traktorer,76
0 Hele landet,Egentransport,Parafin,2012,Motorredskaper,0
0 Hele landet,Egentransport,Parafin,2013,Personbiler,17
0 Hele landet,Egentransport,Parafin,2013,Ambulanser,0
0 Hele landet,Egentransport,Parafin,2013,Busser,1
0 Hele landet,Egentransport,Parafin,2013,Varebiler,4
0 Hele landet,Egentransport,Parafin,2013,Kombinerte biler,0
0 Hele landet,Egentransport,Parafin,2013,Lastebiler,15
0 Hele landet,Egentransport,Parafin,2013,Mopeder,0
0 Hele landet,Egentransport,Parafin,2013,Lette motorsykler,0
0 Hele landet,Egentransport,Parafin,2013,Tunge motorsykler,0
0 Hele landet,Egentransport,Parafin,2013,Beltemotorsykler,0
0 Hele landet,Egentransport,Parafin,2013,Traktorer,74
0 Hele landet,Egentransport,Parafin,2013,Motorredskaper,0
0 Hele landet,Egentransport,Parafin,2014,Personbiler,16
0 Hele landet,Egentransport,Parafin,2014,Ambulanser,0
0 Hele landet,Egentransport,Parafin,2014,Busser,1
0 Hele landet,Egentransport,Parafin,2014,Varebiler,3
0 Hele landet,Egentransport,Parafin,2014,Kombinerte biler,0
0 Hele landet,Egentransport,Parafin,2014,Lastebiler,14
